bench, mem, temp, row_size, enabled_cols, row_count, col_width, cycles, l1_references, l1_refills, l2_references, l2_refills, inst_retired
q1, r, c, 64, 2, 43690, 4, 274237, 1441818, 2060, 23761, 10746, 2752727
q1, r, h, 64, 2, 43690, 4, 272065, 1441821, 2303, 24229, 8216, 2752730
q1, d, -, 64, 2, 43690, 4, 340744, 1616579, 6663, 99718, 49272, 3102249
q1, c, -, 64, 2, 43690, 4, 38341, 65643, 467, 16206, 5512, 54977
q1, r, c, 64, 2, 43690, 4, 258968, 1441819, 1073, 22162, 10387, 2752560
q1, r, h, 64, 2, 43690, 4, 270736, 1441821, 1306, 22212, 7805, 2752730
q1, d, -, 64, 2, 43690, 4, 344264, 1616579, 6767, 99295, 49248, 3102248
q1, c, -, 64, 2, 43690, 4, 39393, 65643, 480, 16180, 5513, 54976
q1, r, c, 64, 2, 43690, 4, 259314, 1441818, 1229, 22233, 10502, 2752558
q1, r, h, 64, 2, 43690, 4, 270071, 1441821, 1300, 22276, 8090, 2752730
q1, d, -, 64, 2, 43690, 4, 339864, 1616579, 6378, 99135, 49250, 3102249
q1, c, -, 64, 2, 43690, 4, 39295, 65643, 508, 16221, 5521, 54977
q1, r, c, 64, 2, 43690, 4, 258789, 1441819, 1279, 22210, 10508, 2752560
q1, r, h, 64, 2, 43690, 4, 269117, 1441822, 1266, 22323, 7820, 2752731
q1, d, -, 64, 2, 43690, 4, 339157, 1616579, 6270, 99332, 49228, 3102249
q1, c, -, 64, 2, 43690, 4, 38116, 65643, 474, 16177, 5495, 54977
q1, r, c, 64, 2, 43690, 4, 257654, 1441818, 1114, 22170, 10518, 2752557
q1, r, h, 64, 2, 43690, 4, 271123, 1441824, 1352, 22309, 7807, 2752735
q1, d, -, 64, 2, 43690, 4, 340669, 1616579, 6277, 99197, 49233, 3102249
q1, c, -, 64, 2, 43690, 4, 38307, 65643, 436, 16173, 5492, 54978
q1, r, c, 64, 2, 43690, 4, 257824, 1441819, 1113, 22195, 10509, 2752557
q1, r, h, 64, 2, 43690, 4, 270902, 1441820, 1293, 22310, 7839, 2752731
q1, d, -, 64, 2, 43690, 4, 341400, 1616579, 6400, 99054, 49253, 3102249
q1, c, -, 64, 2, 43690, 4, 37190, 65643, 453, 16182, 5508, 54977
q1, r, c, 64, 2, 43690, 4, 258735, 1441819, 1082, 22242, 10283, 2752560
q1, r, h, 64, 2, 43690, 4, 269572, 1441821, 1365, 22406, 7627, 2752730
q1, d, -, 64, 2, 43690, 4, 339228, 1616579, 6183, 99172, 49240, 3102250
q1, c, -, 64, 2, 43690, 4, 38210, 65643, 467, 16206, 5513, 54977
q1, r, c, 64, 2, 43690, 4, 257667, 1441819, 1121, 22211, 10181, 2752557
q1, r, h, 64, 2, 43690, 4, 270796, 1441823, 1252, 22279, 7706, 2752734
q1, d, -, 64, 2, 43690, 4, 341570, 1616579, 6064, 99230, 49237, 3102248
q1, c, -, 64, 2, 43690, 4, 38332, 65643, 478, 16191, 5512, 54978
q1, r, c, 64, 2, 43690, 4, 259305, 1441819, 1077, 22173, 10316, 2752560
q1, r, h, 64, 2, 43690, 4, 269947, 1441821, 1316, 22399, 7876, 2752730
q1, d, -, 64, 2, 43690, 4, 339423, 1616579, 6327, 99317, 49243, 3102251
q1, c, -, 64, 2, 43690, 4, 37897, 65643, 420, 16118, 5468, 54976
q1, r, c, 64, 2, 43690, 4, 257610, 1441819, 1134, 22221, 10277, 2752557
q1, r, h, 64, 2, 43690, 4, 271508, 1441821, 1302, 22380, 7783, 2752732
q1, d, -, 64, 2, 43690, 4, 340982, 1616579, 6417, 99278, 49240, 3102249
q1, c, -, 64, 2, 43690, 4, 38583, 65643, 564, 16235, 5561, 54977
q1, r, c, 64, 3, 43690, 4, 364511, 2009789, 1609, 33194, 15785, 3844807
q1, r, h, 64, 3, 43690, 4, 388896, 2009793, 2123, 33421, 14159, 3845069
q1, d, -, 64, 3, 43690, 4, 486109, 2271930, 3584, 106035, 52009, 4369349
q1, c, -, 64, 3, 43690, 4, 58078, 98442, 1099, 24393, 8265, 82424
q1, r, c, 64, 3, 43690, 4, 366093, 2009789, 1678, 33301, 15668, 3844810
q1, r, h, 64, 3, 43690, 4, 387230, 2009793, 2072, 33503, 13582, 3845070
q1, d, -, 64, 3, 43690, 4, 484420, 2271929, 3514, 105803, 52023, 4369345
q1, c, -, 64, 3, 43690, 4, 60671, 98442, 1352, 24511, 8351, 82424
q1, r, c, 64, 3, 43690, 4, 365765, 2009789, 1669, 33229, 15785, 3844809
q1, r, h, 64, 3, 43690, 4, 387489, 2009793, 2100, 33555, 13716, 3845070
q1, d, -, 64, 3, 43690, 4, 486340, 2271929, 3487, 105656, 52010, 4369347
q1, c, -, 64, 3, 43690, 4, 57890, 98442, 799, 24278, 8293, 82424
q1, r, c, 64, 3, 43690, 4, 365829, 2009788, 1656, 33220, 15514, 3844808
q1, r, h, 64, 3, 43690, 4, 387257, 2009795, 1982, 33384, 13615, 3845072
q1, d, -, 64, 3, 43690, 4, 482794, 2271929, 3542, 105993, 52008, 4369344
q1, c, -, 64, 3, 43690, 4, 55826, 98442, 608, 24166, 8178, 82423
q1, r, c, 64, 3, 43690, 4, 366190, 2009789, 1669, 33257, 15594, 3844809
q1, r, h, 64, 3, 43690, 4, 387785, 2009794, 1979, 33460, 13802, 3845071
q1, d, -, 64, 3, 43690, 4, 490604, 2271929, 3688, 106057, 52020, 4369344
q1, c, -, 64, 3, 43690, 4, 55966, 98442, 660, 24210, 8220, 82422
q1, r, c, 64, 3, 43690, 4, 365308, 2009789, 1761, 33242, 15506, 3844807
q1, r, h, 64, 3, 43690, 4, 387868, 2009796, 1988, 33411, 13717, 3845073
q1, d, -, 64, 3, 43690, 4, 487356, 2271929, 3664, 105952, 52014, 4369346
q1, c, -, 64, 3, 43690, 4, 56598, 98442, 639, 24188, 8208, 82423
q1, r, c, 64, 3, 43690, 4, 365466, 2009789, 1752, 33220, 15356, 3844809
q1, r, h, 64, 3, 43690, 4, 386806, 2009794, 1993, 33442, 13653, 3845071
q1, d, -, 64, 3, 43690, 4, 485183, 2271929, 3548, 105667, 52007, 4369345
q1, c, -, 64, 3, 43690, 4, 57115, 98442, 743, 24251, 8251, 82423
q1, r, c, 64, 3, 43690, 4, 365923, 2009788, 1657, 33271, 15430, 3844808
q1, r, h, 64, 3, 43690, 4, 387070, 2009795, 2000, 33361, 13653, 3845072
q1, d, -, 64, 3, 43690, 4, 486057, 2271930, 3631, 106079, 52021, 4369347
q1, c, -, 64, 3, 43690, 4, 57274, 98442, 747, 24264, 8256, 82424
q1, r, c, 64, 3, 43690, 4, 365566, 2009788, 1694, 33298, 15202, 3844808
q1, r, h, 64, 3, 43690, 4, 387409, 2009794, 2076, 33439, 13538, 3845071
q1, d, -, 64, 3, 43690, 4, 486697, 2271929, 3702, 105802, 52017, 4369346
q1, c, -, 64, 3, 43690, 4, 56376, 98442, 738, 24302, 8267, 82424
q1, r, c, 64, 3, 43690, 4, 365866, 2009788, 1625, 33239, 15719, 3844808
q1, r, h, 64, 3, 43690, 4, 388021, 2009793, 1990, 33376, 14108, 3845070
q1, d, -, 64, 3, 43690, 4, 485412, 2271930, 3474, 105838, 52016, 4369346
q1, c, -, 64, 3, 43690, 4, 56330, 98442, 720, 24297, 8253, 82424
q1, r, c, 64, 4, 43690, 4, 472722, 2577759, 2181, 44338, 20931, 4937060
q1, r, h, 64, 4, 43690, 4, 505790, 2577760, 2699, 44261, 20519, 4937402
q1, d, -, 64, 4, 43690, 4, 637786, 2927281, 5057, 112251, 54748, 5636443
q1, c, -, 64, 4, 43690, 4, 75073, 131238, 925, 32290, 10992, 109872
q1, r, c, 64, 4, 43690, 4, 473497, 2577758, 2343, 44368, 20594, 4937058
q1, r, h, 64, 4, 43690, 4, 507576, 2577760, 2689, 44285, 20815, 4937404
q1, d, -, 64, 4, 43690, 4, 632353, 2927280, 5138, 112538, 54740, 5636440
q1, c, -, 64, 4, 43690, 4, 73606, 131237, 809, 32213, 10943, 109870
q1, r, c, 64, 4, 43690, 4, 472876, 2577759, 2271, 44324, 20745, 4937060
q1, r, h, 64, 4, 43690, 4, 506211, 2577761, 2669, 44281, 20727, 4937404
q1, d, -, 64, 4, 43690, 4, 633441, 2927279, 5101, 112408, 54733, 5636440
q1, c, -, 64, 4, 43690, 4, 73480, 131237, 813, 32215, 10940, 109870
q1, r, c, 64, 4, 43690, 4, 472522, 2577758, 2338, 44409, 20881, 4937060
q1, r, h, 64, 4, 43690, 4, 507296, 2577761, 2701, 44377, 20567, 4937406
